"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"132","Scalloped Hammerhead",2020,"Longline",28.0166,-92.5839,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"133","Dogfish, Spiny (Cuban)",2023,"Longline",27.0027,-96.4031,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"134","Silky Shark",2019,"Longline",28.1069,-91.104,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"135","Shark, Unidentified",2022,"Bandit",27.8716,-96.391,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"136","Dogfish, Smooth (Florida)",2019,"Longline",28.1376,-90.5705,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"137","Dogfish, Spiny (Cuban)",2024,"Longline",28.6254,-85.7937,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"138","Atlantic Sharpnose Shark",2022,"Longline",26.3531,-82.9974,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"139","Dogfish, Smooth (Florida)",2019,"Longline",28.3489,-89.9653,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"140","Dogfish, Smooth (Florida)",2022,"Longline",27.3578,-96.2453,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"141","Tiger Shark",2023,"Longline",26.7249,-83.1729,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"142","Sandbar Shark",2021,"Longline",27.4795,-83.4902,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"143","Tiger Shark",2020,"Longline",26.6463,-83.1058,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"144","Dogfish, Spiny (Cuban)",2023,"Longline",27.7853,-94.0939,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"145","Shark, Unidentified",2019,"Longline",28.1128,-90.5654,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"146","Atlantic Sharpnose Shark",2023,"Longline",25.6844,-82.8846,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"147","Dogfish, Spiny (Cuban)",2023,"Longline",27.7288,-94.8586,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"148","Dogfish, Smooth (Florida)",2019,"Longline",27.1389,-83.9147,"Cut-off at Rail (Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"149","Shark, Unidentified",2020,"Longline",27.6654,-93.619,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"150","Dogfish, Spiny (Cuban)",2021,"Longline",27.7538,-93.725,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"151","Scalloped Hammerhead",2020,"Longline",27.1741,-96.3998,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"152","Atlantic Sharpnose Shark",2020,"Longline",24.6635,-83.3995,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"153","Sandbar Shark",2018,"Longline",27.7936,-84.1522,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"154","Sandbar Shark",2016,"Longline",24.7032,-83.4004,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"155","Atlantic Sharpnose Shark",2016,"Longline",24.6876,-83.1551,"Not Handled (Dropped Off)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"156","Dogfish, Smooth (Florida)",2020,"Longline",27.2631,-96.3081,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"157","Dogfish, Smooth (Florida)",2019,"Longline",28.2258,-90.2667,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"158","Atlantic Sharpnose Shark",2023,"Longline",26.1133,-83.7213,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"159","Sandbar Shark",2021,"Longline",24.6793,-83.6221,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"160","Tiger Shark",2019,"Longline",28.6647,-84.4524,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"161","Sixgill Shark (all)",2021,"Longline",27.5935,-93.5007,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"162","Dogfish, Spiny (Cuban)",2018,"Longline",28.7536,-86.0135,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"163","Shark, Unidentified",2019,"Longline",25.7882,-84.3004,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"164","Dogfish, Spiny (Cuban)",2022,"Longline",29.0696,-85.9889,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"165","Dogfish, Smooth (Florida)",2021,"Longline",27.8813,-93.1993,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"166","Sandbar Shark",2023,"Longline",28.7652,-84.6081,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"167","Atlantic Sharpnose Shark",2021,"Longline",27.8407,-83.6987,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"168","Tiger Shark",2023,"Longline",26.7665,-83.423,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"169","Sandbar Shark",2019,"Longline",27.4493,-83.5044,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"170","Dogfish, Spiny (Cuban)",2018,"Longline",28.7866,-86.0082,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"171","Dogfish, Spiny (Cuban)",2023,"Longline",28.9651,-86.4568,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"172","Dogfish, Spiny (Cuban)",2023,"Longline",28.5735,-85.7978,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"173","Atlantic Sharpnose Shark",2019,"Longline",28.2202,-90.2758,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"174","Atlantic Sharpnose Shark",2021,"Longline",25.8166,-82.8092,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"175","Night Shark",2019,"Longline",27.8109,-93.7579,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"176","Dogfish, Smooth (Florida)",2019,"Longline",27.7786,-95.2028,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"177","Dogfish, Spiny (Cuban)",2023,"Longline",28.5802,-85.7916,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"178","Dogfish, Smooth (Florida)",2019,"Longline",28.2013,-90.2517,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"179","Atlantic Sharpnose Shark",2017,"Longline",27.4693,-83.5434,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"180","Sandbar Shark",2022,"Longline",28.1966,-84.3342,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"181","Dogfish, Spiny (Cuban)",2021,"Longline",27.6589,-93.4074,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"182","Dogfish, Spiny (Cuban)",2023,"Longline",28.5683,-85.7899,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"183","Dogfish, Spiny (Cuban)",2019,"Longline",27.7586,-92.8324,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"184","Atlantic Sharpnose Shark",2016,"Longline",27.7171,-83.6954,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"185","Shark, Unidentified",2017,"Longline",25.1587,-83.6042,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"186","Dogfish, Smooth (Florida)",2019,"Longline",28.1249,-90.5493,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"187","Sandbar Shark",2020,"Longline",24.6931,-83.4048,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"188","Atlantic Sharpnose Shark",2019,"Longline",28.2196,-90.3295,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"189","Dogfish, Smooth (Florida)",2019,"Longline",28.1844,-90.2437,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"190","Nurse Shark",2021,"Longline",27.5347,-83.8474,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"191","Sandbar Shark",2021,"Longline",26.812,-83.8554,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"192","Dogfish, Spiny (Cuban)",2022,"Longline",29.04,-85.9505,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"193","Dogfish, Smooth (Florida)",2016,"Longline",25.2186,-83.9189,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"194","Nurse Shark",2020,"Longline",27.4837,-83.5885,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"195","Atlantic Sharpnose Shark",2023,"Longline",26.0791,-83.0632,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"196","Blacknose Shark",2017,"Longline",26.8798,-83.3966,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"197","Dogfish, Smooth (Florida)",2019,"Longline",27.8834,-94.7843,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"198","Dogfish, Spiny (Cuban)",2023,"Longline",27.8313,-91.5638,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"199","Dogfish, Spiny (Cuban)",2023,"Longline",28.56,-85.8143,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"200","Silky Shark",2018,"Longline",27.4193,-84.0166,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"201","Dogfish, Spiny (Cuban)",2023,"Longline",28.5218,-85.7879,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"202","Dogfish, Smooth (Florida)",2019,"Longline",28.1286,-90.5498,"Brought on Board (Retained/Discarded)","Live - Damaged","Discarded - Live and Damaged (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"203","Tiger Shark",2019,"Longline",28.1502,-84.3651,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"204","Blacknose Shark",2021,"Longline",25.7319,-83.4953,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"205","Dogfish, Spiny (Cuban)",2022,"Longline",28.2283,-85.5831,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"206","Atlantic Sharpnose Shark",2018,"Longline",27.1481,-83.6751,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"207","Dogfish, Spiny (Cuban)",2023,"Longline",28.66,-85.8859,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"208","Dogfish, Spiny (Cuban)",2018,"Longline",28.7638,-86.0077,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"209","Atlantic Sharpnose Shark",2019,"Longline",28.2486,-90.1874,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"210","Tiger Shark",2021,"Longline",27.8041,-83.8179,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"211","Blacknose Shark",2017,"Longline",25.7902,-83.0074,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"212","Scalloped Hammerhead",2019,"Longline",28.1649,-90.2444,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"213","Night Shark",2021,"Longline",27.8879,-92.3927,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"214","Dogfish, Smooth (Florida)",2020,"Longline",25.5286,-83.8443,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"215","Silky Shark",2018,"Longline",25.8956,-83.558,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Medium (Between 1m and 2m)"
